hmin1, hmax1, hmed1, mmin1, mmax1, mmed1
96, 105, 100, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 108, 103, 89, 95, 93
97, 107, 102, 92, 99, 95
91, 99, 93, 85, 91, 87
91, 100, 95, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 109, 103, 89, 97, 93
91, 101, 95, 85, 93, 89
93, 101, 97, 83, 91, 87
97, 106, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
93, 101, 96, 85, 93, 87
97, 104, 100, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 101, 95, 85, 93, 89
93, 100, 97, 85, 91, 87
98, 106, 101, 93, 99, 95
99, 109, 104, 91, 97, 93
93, 101, 95, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 108, 103, 89, 97, 93
97, 105, 100, 91, 99, 94
93, 101, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 101, 96, 85, 91, 87
90, 99, 94, 85, 91, 87
100, 107, 103, 89, 95, 93
95, 106, 100, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 97, 93
97, 107, 101, 91, 99, 95
97, 105, 101, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 94, 85, 91, 87
91, 101, 96, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 107, 103, 90, 97, 93
91, 99, 95, 85, 92, 89
93, 100, 97, 85, 93, 87
97, 106, 101, 91, 99, 95
99, 109, 104, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 100, 95, 85, 91, 87
97, 107, 102, 93, 99, 95
99, 109, 103, 90, 97, 93
91, 99, 95, 85, 92, 89
93, 101, 97, 85, 91, 87
99, 109, 103, 89, 97, 93
97, 105, 100, 91, 97, 95
93, 102, 97, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 109, 103, 89, 96, 93
98, 106, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 96, 93
95, 105, 100, 91, 99, 95
93, 101, 96, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 109, 103, 89, 95, 92
97, 106, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
93, 102, 97, 83, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 107, 103, 89, 95, 92
97, 105, 101, 91, 98, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 95, 93
97, 107, 102, 91, 99, 95
93, 102, 96, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 107, 103, 89, 97, 93
97, 105, 101, 91, 99, 95
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 104, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 109, 104, 91, 97, 93
91, 101, 95, 85, 92, 89
93, 101, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 90, 97, 93
91, 97, 93, 85, 91, 87
93, 101, 96, 85, 93, 87
97, 104, 99, 91, 99, 95
99, 109, 104, 89, 96, 93
99, 109, 103, 89, 97, 93
97, 107, 101, 91, 99, 95
93, 102, 97, 83, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 95, 92
97, 105, 100, 91, 97, 95
93, 101, 95, 85, 91, 87
89, 97, 93, 85, 93, 87
99, 108, 103, 89, 95, 93
98, 107, 102, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
100, 109, 104, 89, 96, 93
97, 105, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
90, 99, 94, 85, 92, 87
97, 105, 101, 93, 99, 96
99, 107, 103, 89, 97, 93
91, 100, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 105, 101, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 94, 85, 91, 87
92, 101, 96, 85, 91, 87
99, 106, 101, 93, 99, 95
99, 108, 104, 89, 96, 93
91, 101, 95, 85, 93, 89
93, 102, 97, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 109, 103, 91, 97, 93
91, 97, 93, 85, 91, 87
92, 101, 96, 85, 91, 87
98, 107, 101, 93, 99, 95
99, 107, 104, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 109, 104, 91, 97, 93
90, 98, 93, 85, 91, 87
92, 101, 96, 85, 91, 87
99, 107, 102, 92, 113, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 102, 97, 85, 91, 87
97, 105, 100, 91, 99, 95
100, 109, 104, 89, 96, 93
91, 97, 93, 85, 91, 87
93, 101, 96, 85, 91, 87
100, 109, 103, 89, 97, 93
97, 107, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 108, 103, 91, 97, 93
97, 107, 101, 91, 99, 95
93, 99, 95, 85, 91, 87
90, 99, 94, 85, 91, 87
99, 108, 103, 89, 95, 93
98, 105, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 105, 100, 91, 98, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
91, 98, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 107, 103, 90, 97, 93
91, 99, 93, 85, 91, 87
92, 101, 96, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 92, 89
93, 101, 97, 85, 91, 87
98, 106, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
89, 99, 93, 85, 91, 87
91, 101, 95, 84, 91, 87
97, 105, 100, 91, 98, 95
99, 108, 103, 91, 97, 93
93, 101, 97, 85, 92, 87
91, 98, 95, 85, 101, 89
99, 107, 103, 89, 97, 93
97, 106, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 108, 103, 89, 95, 93
97, 104, 99, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 97, 93
97, 105, 101, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
100, 109, 103, 89, 95, 93
93, 105, 99, 89, 105, 92
97, 105, 101, 87, 96, 91
97, 107, 101, 91, 99, 94
93, 101, 96, 85, 91, 87
90, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
100, 107, 103, 89, 97, 93
97, 103, 99, 91, 98, 95
93, 101, 95, 85, 93, 87
89, 99, 93, 85, 91, 87
99, 107, 103, 89, 96, 93
98, 107, 101, 92, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
97, 105, 101, 91, 99, 95
99, 109, 103, 91, 97, 94
91, 99, 94, 85, 91, 87
92, 101, 96, 85, 93, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 97, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 108, 103, 91, 97, 93
91, 99, 94, 85, 91, 87
93, 101, 97, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
100, 108, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
93, 100, 97, 83, 91, 87
91, 98, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 106, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 93, 87
99, 108, 103, 89, 97, 93
97, 104, 100, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 104, 89, 96, 93
97, 107, 101, 91, 99, 95
91, 99, 94, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 103, 100, 91, 105, 95
99, 109, 104, 91, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 99, 95, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 109, 104, 91, 97, 94
91, 99, 95, 85, 92, 89
93, 101, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 109, 105, 89, 97, 93
99, 107, 103, 89, 95, 92
97, 105, 100, 91, 99, 95
93, 101, 96, 85, 101, 87
90, 97, 93, 85, 91, 87
100, 109, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 95, 92
97, 105, 100, 91, 99, 95
93, 101, 97, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 109, 103, 89, 97, 93
97, 107, 102, 92, 99, 95
93, 101, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
97, 103, 100, 91, 99, 95
99, 109, 103, 89, 105, 93
91, 99, 93, 85, 91, 87
91, 102, 95, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 105, 101, 91, 99, 95
99, 108, 103, 91, 97, 93
91, 97, 93, 85, 91, 87
91, 100, 95, 85, 91, 87
98, 107, 101, 93, 99, 95
99, 109, 103, 91, 97, 93
91, 99, 95, 85, 93, 89
94, 103, 97, 85, 91, 87
93, 99, 95, 85, 91, 87
91, 99, 95, 85, 91, 87
99, 109, 104, 89, 95, 93
97, 104, 100, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 107, 103, 89, 95, 93
97, 107, 101, 91, 99, 95
93, 100, 95, 83, 91, 87
89, 99, 93, 85, 93, 87
99, 107, 103, 89, 97, 93
97, 103, 100, 91, 97, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
98, 107, 101, 91, 99, 95
91, 99, 94, 85, 91, 87
91, 101, 97, 85, 91, 87
97, 105, 101, 91, 99, 95
99, 109, 104, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 109, 103, 91, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 96, 85, 91, 87
97, 103, 100, 91, 99, 95
99, 107, 103, 89, 96, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 108, 103, 89, 97, 93
99, 107, 102, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 97, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 105, 100, 91, 97, 95
99, 107, 103, 91, 97, 93
91, 97, 93, 85, 91, 87
92, 101, 95, 85, 91, 87
98, 105, 101, 93, 101, 95
99, 107, 103, 89, 97, 93
91, 101, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 105, 100, 91, 99, 95
100, 107, 103, 89, 97, 93
89, 97, 93, 85, 91, 87
91, 100, 95, 85, 91, 87
99, 109, 103, 89, 95, 92
97, 105, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 107, 103, 89, 95, 93
97, 106, 101, 91, 99, 94
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 107, 102, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 103, 100, 91, 99, 95
93, 101, 96, 85, 91, 87
89, 98, 93, 85, 91, 87
91, 99, 95, 85, 92, 89
93, 102, 97, 85, 91, 87
97, 107, 102, 93, 99, 95
99, 109, 104, 91, 97, 93
91, 97, 93, 85, 91, 87
93, 101, 96, 85, 93, 87
97, 105, 100, 91, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 99, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 108, 103, 91, 97, 93
91, 99, 93, 85, 91, 87
92, 103, 96, 85, 91, 87
97, 105, 100, 91, 98, 95
99, 109, 103, 91, 97, 93
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 97, 93
97, 106, 101, 91, 99, 95
93, 101, 96, 85, 91, 87
89, 97, 93, 85, 91, 87
99, 107, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
100, 107, 103, 89, 95, 93
97, 107, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 106, 103, 89, 97, 93
97, 105, 101, 91, 99, 95
93, 102, 97, 83, 91, 87
91, 99, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
97, 106, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 107, 103, 89, 95, 93
97, 105, 100, 91, 99, 95
93, 99, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
98, 107, 101, 91, 99, 95
93, 102, 95, 85, 91, 87
90, 99, 95, 85, 91, 87
99, 235, 103, 89, 97, 93
97, 105, 99, 91, 99, 95
91, 101, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 99, 95, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 108, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 99, 95, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 107, 103, 89, 97, 93
99, 107, 103, 89, 97, 93
98, 105, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 109, 103, 89, 95, 92
97, 107, 101, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 98, 93, 85, 93, 87
99, 107, 103, 89, 95, 93
97, 106, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 106, 103, 89, 97, 93
97, 111, 100, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 98, 93, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 100, 95, 85, 93, 89
93, 102, 97, 85, 91, 87
97, 103, 100, 91, 99, 95
99, 108, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 104, 100, 91, 99, 95
99, 107, 103, 91, 97, 93
91, 99, 93, 85, 91, 87
92, 101, 95, 85, 92, 87
91, 99, 95, 85, 91, 87
91, 101, 95, 83, 91, 87
97, 105, 101, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 100, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
92, 100, 95, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 109, 104, 91, 97, 93
91, 101, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
93, 101, 97, 85, 91, 87
89, 97, 93, 85, 92, 87
99, 109, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
93, 99, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 107, 103, 89, 97, 93
97, 107, 102, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 103, 100, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 108, 103, 89, 97, 93
97, 107, 101, 91, 99, 95
97, 105, 101, 91, 98, 95
99, 107, 103, 91, 97, 93
91, 97, 93, 85, 91, 87
92, 99, 95, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 107, 103, 89, 95, 93
91, 97, 95, 85, 93, 89
93, 102, 97, 85, 91, 87
97, 103, 99, 91, 98, 95
99, 111, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 96, 85, 92, 87
97, 105, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 93, 87
99, 107, 103, 89, 96, 93
97, 106, 101, 91, 98, 95
93, 101, 95, 85, 91, 87
90, 97, 93, 85, 91, 87
100, 108, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 108, 103, 89, 96, 93
97, 105, 100, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 98, 93, 85, 92, 87
99, 107, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 100, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
97, 106, 101, 91, 99, 95
99, 109, 103, 91, 97, 93
91, 99, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 91, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 109, 104, 91, 97, 93
91, 97, 93, 85, 91, 87
92, 99, 95, 85, 91, 87
98, 105, 101, 93, 99, 95
99, 109, 103, 89, 96, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
99, 108, 103, 91, 96, 93
97, 105, 100, 91, 99, 95
93, 99, 95, 85, 91, 87
90, 98, 93, 85, 93, 87
99, 109, 103, 89, 97, 93
97, 107, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
100, 107, 103, 89, 95, 93
97, 105, 101, 91, 98, 95
93, 99, 95, 85, 91, 87
89, 98, 93, 85, 91, 87
99, 108, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
91, 99, 93, 85, 91, 87
93, 102, 95, 85, 93, 87
97, 105, 100, 91, 98, 95
99, 108, 103, 89, 95, 93
91, 100, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 109, 103, 91, 97, 93
91, 99, 93, 85, 91, 87
91, 99, 95, 85, 93, 87
97, 105, 100, 91, 99, 95
99, 108, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 93, 87
97, 106, 101, 93, 99, 95
99, 109, 103, 90, 97, 94
93, 99, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
100, 109, 103, 89, 95, 93
97, 104, 100, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 105, 101, 91, 99, 95
93, 99, 95, 83, 91, 87
89, 97, 93, 85, 91, 87
99, 109, 103, 89, 97, 93
97, 103, 100, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 106, 101, 91, 99, 95
100, 109, 103, 89, 95, 93
98, 107, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 97, 93
97, 106, 100, 91, 99, 95
93, 100, 96, 85, 91, 87
90, 99, 93, 85, 91, 87
99, 107, 103, 89, 95, 93
98, 105, 101, 91, 99, 95
93, 101, 97, 85, 92, 87
91, 100, 95, 85, 93, 89
100, 108, 103, 89, 97, 93
97, 105, 100, 91, 98, 95
93, 99, 95, 85, 91, 87
89, 99, 95, 85, 93, 87
97, 105, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 101, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 104, 100, 91, 97, 95
99, 109, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
92, 99, 95, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 107, 103, 91, 97, 94
91, 100, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 105, 100, 91, 98, 95
99, 109, 103, 90, 97, 93
91, 99, 94, 83, 91, 87
92, 101, 96, 85, 93, 87
93, 100, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 108, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
91, 99, 95, 85, 91, 87
100, 109, 104, 89, 95, 93
97, 103, 100, 91, 97, 95
93, 103, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 102, 96, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 109, 104, 89, 95, 92
97, 106, 101, 91, 98, 95
91, 99, 95, 85, 91, 89
93, 103, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 107, 93, 85, 103, 87
91, 109, 95, 83, 103, 87
97, 105, 100, 91, 97, 95
99, 109, 103, 89, 97, 93
91, 100, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 96, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 100, 97, 85, 91, 87
97, 105, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
89, 99, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 103, 100, 91, 97, 95
99, 108, 103, 90, 97, 93
91, 98, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 107, 103, 90, 97, 93
91, 98, 93, 85, 91, 87
93, 101, 95, 85, 93, 87
97, 103, 99, 91, 99, 95
99, 109, 103, 91, 97, 93
93, 103, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
100, 107, 103, 89, 97, 93
97, 107, 102, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 92
97, 103, 100, 91, 99, 95
93, 100, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 107, 103, 89, 97, 93
97, 105, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
101, 109, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
97, 107, 101, 93, 99, 95
99, 107, 103, 89, 95, 93
91, 99, 95, 85, 92, 89
93, 101, 97, 85, 91, 87
97, 105, 100, 91, 97, 95
99, 108, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 99, 95, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 108, 103, 89, 97, 93
91, 97, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 103, 99, 91, 97, 95
99, 109, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 107, 103, 89, 96, 93
97, 105, 100, 91, 98, 95
93, 101, 95, 85, 91, 87
89, 97, 93, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 107, 101, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 103, 89, 95, 92
97, 105, 100, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
93, 101, 95, 85, 91, 87
90, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 103, 100, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 108, 103, 89, 95, 92
98, 107, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 97, 93, 85, 91, 87
99, 107, 103, 89, 95, 93
97, 105, 100, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 108, 103, 89, 95, 93
97, 107, 101, 91, 99, 95
91, 97, 93, 85, 91, 87
93, 103, 97, 85, 91, 87
97, 107, 101, 91, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 95, 85, 92, 89
93, 103, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
100, 109, 103, 89, 97, 93
91, 98, 93, 85, 91, 87
91, 99, 95, 85, 91, 87
97, 106, 100, 91, 98, 95
99, 109, 103, 90, 97, 93
91, 101, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 106, 101, 92, 99, 95
99, 107, 103, 89, 97, 93
99, 108, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 98, 93, 85, 91, 87
99, 107, 103, 89, 96, 93
97, 107, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 107, 103, 89, 97, 92
97, 103, 100, 91, 97, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 93, 87
99, 109, 103, 89, 96, 93
97, 106, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
97, 103, 100, 91, 98, 95
99, 109, 103, 91, 97, 93
91, 99, 94, 85, 91, 87
92, 99, 95, 85, 92, 87
97, 105, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 105, 101, 91, 98, 95
99, 109, 104, 89, 97, 93
91, 99, 93, 85, 91, 87
93, 100, 95, 85, 91, 87
98, 107, 101, 93, 99, 95
99, 108, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
91, 98, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 93, 85, 91, 87
91, 99, 95, 85, 91, 87
97, 103, 99, 91, 99, 95
99, 109, 103, 90, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 109, 103, 90, 97, 93
91, 97, 93, 85, 91, 87
93, 102, 97, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 107, 103, 89, 97, 93
93, 101, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
95, 105, 99, 91, 97, 94
89, 99, 93, 83, 91, 86
89, 97, 93, 85, 91, 87
99, 107, 103, 89, 95, 93
97, 105, 100, 91, 99, 95
93, 100, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 109, 103, 89, 95, 93
97, 106, 101, 91, 99, 95
93, 101, 96, 85, 91, 87
90, 99, 93, 85, 93, 87
99, 107, 103, 89, 97, 93
97, 104, 100, 91, 99, 95
97, 106, 102, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 102, 97, 85, 93, 87
97, 103, 100, 91, 99, 95
99, 107, 104, 91, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 95, 85, 93, 87
97, 107, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 107, 100, 91, 99, 95
99, 109, 103, 91, 97, 93
91, 99, 94, 85, 91, 87
91, 101, 95, 85, 93, 87
